Day in Study       left hand       right hand
------------       ---------       ----------
0                    2.44             7.48 
1                    20.00            22.91
2                    1.09             22.12
3                    0.00             20.00
4                    0.00             23.13
5                    0.00             22.93
6                    0.00             22.58
7                    0.00             23.63
8                    0.00             22.57
9                    0.00             21.91
10                   3.62             22.80
11                   19.84            19.84
12                   24.20            16.23
13                   13.50            13.54
14                   22.57            22.44
15                   22.97            23.16
16                   21.32            21.31
17                   21.40            21.40
18                   23.81            23.82
19                   11.52            11.56
20                   19.47            19.47
21                   22.39            22.37
22                   22.47            22.48
23                   22.59            22.61
24                   23.12            23.12
25                   22.54            22.57
26                   18.10            18.11
27                   19.88            19.88
28                   12.48            12.48
29                   23.05            23.05
30                   22.27            23.03
31                   22.96            22.96
32                   22.22            22.22
33                   21.16            21.82
34                   22.75            22.54
35                   19.00            19.00
36                   23.90            23.91
37                   9.42             9.44 
38                   9.05             5.86 
39                   21.00            21.02
40                   23.20            22.58
41                   21.76            21.77
42                   22.39            22.39
43                   24.00            24.00
44                   22.85            22.73
45                   19.51            20.41
46                   11.59            13.64
47                   22.32            22.17
48                   24.00            24.00
49                   11.35            7.75 
50                   21.89            21.80
51                   24.00            24.00
52                   19.47            19.46
53                   17.90            17.77
54                   23.28            23.24
55                   23.39            23.39
56                   5.84             8.94 
57                   0.00             0.00 
